story_id,date,time,type,views,reach,replies,shares,total_interactions,profile_visits,follows,taps_forward,taps_back,swipes_forward,exits,exit_rate,permalink,pulled_at
17954681096998904,2026-07-28,13:50,IMAGE,7074,5487,0,0,6,7,0,4891,612,288,448,10.4,https://www.instagram.com/stories/kan_news/3951167182255876413,2026-07-29 08:39
17965048725131834,2026-07-28,22:15,IMAGE,4469,3345,3,0,6,10,0,2655,183,334,479,18.2,https://www.instagram.com/stories/kan_news/3951420996837944862,2026-07-29 08:39
18113075867289808,2026-07-28,08:28,VIDEO,230,23,0,0,0,0,0,17,1,1,5,2.6,https://www.instagram.com/stories/kan_news/3951004798794529216,2026-07-28 08:39
17940242880069014,2026-07-28,09:37,VIDEO,8870,7495,2,23,35,4,0,6537,350,433,418,9.6,https://www.instagram.com/stories/kan_news/3951039825737603075,2026-07-29 08:39
18111475084787409,2026-07-27,21:12,VIDEO,7170,6008,3,1,31,0,0,5683,260,214,342,7.8,https://www.instagram.com/stories/kan_news/3950664856235071296,2026-07-28 08:40
18114619576933037,2026-07-27,21:11,VIDEO,8158,6667,3,1,26,7,0,5457,520,449,389,10.3,https://www.instagram.com/stories/kan_news/3950664033782333470,2026-07-28 08:40
18439882804127023,2026-07-27,21:11,IMAGE,9227,7434,2,0,15,12,0,5632,82,1065,610,18.2,https://www.instagram.com/stories/kan_news/3950663974534088383,2026-07-28 08:40
18125160040683018,2026-07-27,21:49,IMAGE,7332,5390,2,4,12,8,0,4479,273,339,526,11.8,https://www.instagram.com/stories/kan_news/3950683369776033040,2026-07-28 08:39
18117323569809843,2026-07-27,21:11,VIDEO,7248,6144,0,6,19,1,0,5565,379,249,254,6.9,https://www.instagram.com/stories/kan_news/3950664143631187448,2026-07-28 08:40
18330123361282931,2026-07-26,18:50,VIDEO,6336,5514,9,0,54,6,0,4621,258,457,441,14.2,https://www.instagram.com/stories/kan_news/3949868312422407500,2026-07-27 08:38
18118321732856239,2026-07-26,17:23,VIDEO,7817,6446,3,1,40,10,0,4899,422,638,664,16.7,https://www.instagram.com/stories/kan_news/3949824873576155568,2026-07-27 08:38
17961896538161145,2026-07-26,13:55,IMAGE,10492,8288,7,0,18,20,0,5967,187,1223,1028,21.5,https://www.instagram.com/stories/kan_news/3949719999719466536,2026-07-27 08:38
17894233677603279,2026-07-26,20:46,IMAGE,5589,4694,2,0,10,5,0,3967,122,326,420,13.3,https://www.instagram.com/stories/kan_news/3949926600950916021,2026-07-27 08:38
18198067708331657,2026-07-26,21:47,VIDEO,4808,3867,1,0,5,8,0,3218,188,287,608,18.6,https://www.instagram.com/stories/kan_news/3949957780466755985,2026-07-27 08:38
18111072196787825,2026-07-25,00:36,VIDEO,2766,2341,0,4,20,5,0,1769,59,219,348,20.5,https://www.instagram.com/stories/kan_news/3948593185596521511,2026-07-25 08:39
18135955693593418,2026-07-25,20:17,VIDEO,8462,7110,1,1,7,32,0,5137,114,1030,1358,28.2,https://www.instagram.com/stories/kan_news/3949187567857065561,2026-07-26 08:36
17925314895385663,2026-07-24,16:40,VIDEO,10004,8616,0,5,56,4,0,7935,626,286,415,7,https://www.instagram.com/stories/kan_news/3948353364546449675,2026-07-25 08:39
18437667898125914,2026-07-24,16:53,VIDEO,9560,8012,1,3,62,7,0,5826,721,369,943,13.7,https://www.instagram.com/stories/kan_news/3948360008030399841,2026-07-25 08:39
17864019186640937,2026-07-24,16:02,VIDEO,12297,9883,6,8,90,9,0,7607,873,287,927,9.9,https://www.instagram.com/stories/kan_news/3948334285781641946,2026-07-25 08:39
18112262509905209,2026-07-24,16:53,VIDEO,9876,8424,2,4,67,8,0,7699,423,214,299,5.2,https://www.instagram.com/stories/kan_news/3948359955417053766,2026-07-25 08:39
18122948911771574,2026-07-24,15:24,VIDEO,14143,10161,3,5,30,12,0,9924,1099,540,1072,11.4,https://www.instagram.com/stories/kan_news/3948314961775866291,2026-07-25 08:39
18123013624755221,2026-07-24,16:02,IMAGE,12233,9727,14,5,63,4,1,9252,1021,317,309,5.1,https://www.instagram.com/stories/kan_news/3948334228202724584,2026-07-25 08:39
17966141288948312,2026-07-24,12:52,VIDEO,14176,11129,3,4,37,19,0,9967,733,802,964,12.5,https://www.instagram.com/stories/kan_news/3948238734041972322,2026-07-25 08:39
17979895974058024,2026-07-24,11:12,VIDEO,14713,12143,5,1,84,32,1,10184,377,1469,1073,17.3,https://www.instagram.com/stories/kan_news/3948188457087679299,2026-07-25 08:39
17994742919990413,2026-07-23,15:50,VIDEO,9258,7831,0,1,10,20,1,5488,154,1279,822,22.7,https://www.instagram.com/stories/kan_news/3947603522279545370,2026-07-24 09:19
18344765467222734,2026-07-23,17:16,VIDEO,7801,6767,0,14,27,10,0,5461,256,495,482,12.5,https://www.instagram.com/stories/kan_news/3947646937326599825,2026-07-24 09:19
18123249076826700,2026-07-23,17:18,IMAGE,7437,6324,1,1,9,5,0,5807,311,254,286,7.3,https://www.instagram.com/stories/kan_news/3947647823130498057,2026-07-24 09:19
18015134729864294,2026-07-23,17:18,IMAGE,7377,6023,0,0,5,10,0,4801,441,359,809,15.8,https://www.instagram.com/stories/kan_news/3947648016362029468,2026-07-24 09:19
18014519516874014,2026-07-22,18:37,IMAGE,11179,9182,11,4,31,4,0,8109,889,638,505,10.2,https://www.instagram.com/stories/kan_news/3946962695525968156,2026-07-23 08:35
18108635767818077,2026-07-22,19:43,VIDEO,9941,8101,18,0,61,23,0,6692,438,768,1000,17.8,https://www.instagram.com/stories/kan_news/3946996247751207481,2026-07-23 08:35
17900621769520315,2026-07-22,18:36,IMAGE,12881,10458,3,4,15,7,0,7647,184,1437,784,17.2,https://www.instagram.com/stories/kan_news/3946962442080874014,2026-07-23 08:35
17884003608609710,2026-07-21,20:40,IMAGE,8089,6333,4,1,19,6,0,5189,331,338,395,9.1,https://www.instagram.com/stories/kan_news/3946299823930189926,2026-07-22 08:37
18232233271315924,2026-07-21,17:10,VIDEO,9880,8076,4,8,33,7,0,7036,618,618,429,10.6,https://www.instagram.com/stories/kan_news/3946194449859774916,2026-07-22 08:38
17873407149625060,2026-07-21,22:13,IMAGE,6826,5171,2,1,26,3,0,4457,566,375,473,12.4,https://www.instagram.com/stories/kan_news/3946346493187313543,2026-07-22 08:37
18183163894396692,2026-07-21,15:42,IMAGE,11168,9196,4,0,72,11,0,6799,220,1215,711,17.2,https://www.instagram.com/stories/kan_news/3946149867000860699,2026-07-22 08:38
17980132719107568,2026-07-21,17:35,VIDEO,9226,7508,2,11,37,11,0,6217,581,422,481,9.8,https://www.instagram.com/stories/kan_news/3946206782413752409,2026-07-22 08:38
17942492343271391,2026-07-21,18:18,VIDEO,8841,7107,7,9,30,2,0,6272,403,407,605,11.4,https://www.instagram.com/stories/kan_news/3946228233309171355,2026-07-22 08:37
17886547887669447,2026-07-20,19:41,IMAGE,3961,3255,0,0,12,7,0,3006,232,101,228,8.3,https://www.instagram.com/stories/kan_news/3945545612590109190,2026-07-21 08:38
18113546690476718,2026-07-20,11:37,IMAGE,7208,5525,2,0,11,9,0,4795,293,305,393,9.7,https://www.instagram.com/stories/kan_news/3945302956131961053,2026-07-21 08:38
17973642507114255,2026-07-20,21:22,IMAGE,3554,2734,2,0,9,2,0,2238,164,182,381,15.8,https://www.instagram.com/stories/kan_news/3945596234517662467,2026-07-21 08:38
18116579638810866,2026-07-20,12:56,IMAGE,6250,5153,1,1,10,2,0,4453,524,263,350,9.8,https://www.instagram.com/stories/kan_news/3945341396072464370,2026-07-21 08:38
18110713564946851,2026-07-20,10:47,VIDEO,7392,6278,0,6,23,21,1,5274,181,665,521,16,https://www.instagram.com/stories/kan_news/3945277598728349513,2026-07-21 08:38
18118049458819565,2026-07-20,14:37,IMAGE,5603,4374,2,0,9,3,1,3932,248,225,375,10.7,https://www.instagram.com/stories/kan_news/3945393409376307452,2026-07-21 08:38
17883357762460416,2026-07-20,19:41,VIDEO,4433,3345,0,6,11,1,0,3298,562,165,191,8,https://www.instagram.com/stories/kan_news/3945545378883058109,2026-07-21 08:38
18196533241371807,2026-07-20,17:54,IMAGE,5021,3726,0,1,6,4,0,3740,249,198,357,11.1,https://www.instagram.com/stories/kan_news/3945491772172024130,2026-07-21 08:38
18100068617225272,2026-07-20,16:37,VIDEO,5217,4053,0,0,9,13,0,3360,316,223,414,12.2,https://www.instagram.com/stories/kan_news/3945452804587565517,2026-07-21 08:38
18138256840496747,2026-07-19,10:31,IMAGE,10174,8487,3,3,21,15,0,4441,106,704,603,12.8,https://www.instagram.com/stories/kan_news/3944543664013384793,2026-07-20 08:37
